Courses List for Exchange-in students_Sem 1 of 2025-2026,,,,,,,,,,,,
"Sorted by Offering Unit, Offering Programme & Course Code",,,,,,,,,,as of 20250520,,
"Offering
Unit","Offering
Programme",Course Code,Course Name,"Units
(Credits)",Teachers,Schedule,Hours,"Course
Category",Medium of Instruction (MOI),Remark,,
FBM,AE,ECON2013,Principles of Microeconomics (1004),3,Dr. Zhi YU,Mon 16:00-17:50,2,MR,English,,,
FBM,AE,ECON2013,Principles of Microeconomics (1004),3,Dr. Zhi YU,Wed 8:00-8:50,1,MR,English,,,
FBM,AE,ECON2013,Principles of Microeconomics (1005),3,Dr. Sara Xiao CHANG,Fri 16:00-17:50,2,MR,English,,,
FBM,AE,ECON2013,Principles of Microeconomics (1005),3,Dr. Sara Xiao CHANG,Thu 15:00-15:50,1,MR,English,,,
FBM,AE,ECON2013,Principles of Microeconomics (1006),3,Dr. Bei LUO,Wed 8:00-9:50,2,MR,English,,,
FBM,AE,ECON2013,Principles of Microeconomics (1006),3,Dr. Bei LUO,Thu 17:00-17:50,1,MR,English,,,
FBM,AE,ECON2013,Principles of Microeconomics (1007),3,Dr. Bei LUO,Fri 16:00-17:50,2,MR,English,,,
FBM,AE,ECON2013,Principles of Microeconomics (1007),3,Dr. Bei LUO,Mon 15:00-15:50,1,MR,English,,,
FBM,AE,ECON2013,Principles of Microeconomics (1008),3,Prof. Zhihua LI,Fri 16:00-17:50,2,MR,English,,,
FBM,AE,ECON2013,Principles of Microeconomics (1008),3,Prof. Zhihua LI,Thu 8:00-8:50,1,MR,English,,,
FBM,AE,ECON2063,Introduction to Economics (1001),3,Dr. Sara Xiao CHANG,Wed 8:00-9:50,2,MR,English,,,
FBM,AE,ECON2063,Introduction to Economics (1001),3,Dr. Sara Xiao CHANG,Tue 17:00-17:50,1,MR,English,,,
FBM,AE,ECON2083,Economic History (1001),3,Dr. Emily Jianjing TANG,Mon 9:00-10:50,2,ME,English,,,
FBM,AE,ECON2083,Economic History (1001),3,Dr. Emily Jianjing TANG,Wed 13:00-13:50,1,ME,English,,,
FBM,AE,ECON3003,Intermediate Macroeconomics (1001),3,Dr. An-Hsiang LIU,Fri 8:00-9:50,2,MR,English,,,
